creation_date,accession_number,artist,credit_line,display_title,display_dimensions,medium,media_support,facility,current_location,location_description,street_address_or_intersection,zip_code,latitude,longitude,number_of_districts,cultural_districts,supervisor_district,the_geom,SF Find Neighborhoods,Current Police Districts,Current Supervisor Districts,Analysis Neighborhoods,Neighborhoods
,T2018.46.g,"O'Malley, Susan",,Advice from My 80-Year-Old Self: Live Each Day as if it's Your Last,33 7/8 x 17 in.,,Digital print on archival rag paper,Terminal 1,SFO,BAB,,94128,37.620430000000056,-122.39916499999998,0,,,POINT (-122.39916499999998 37.620430000000056),,,,,
1935,1973.26.b,"Moya del Pino, Jose",Collection of the City and County of San Francisco,Murals for the Acme Beer Company (The Gathering of the Hops),90 x 312 in.,Fresco secco,Fresco secco,African American Art and Culture Complex,Public Display,3Rd Floor,726 Fulton Street,94102,37.77813313200005,-122.42874190999997,0,,05,POINT (-122.42874190999997 37.77813313200005),97,4,11,39,97
1967,1967.86.a-h,"Ng, Win",Collection of the City and County of San Francisco,Unknown,,Glazed ceramic tile,Glazed ceramic tile,Maxine Hall Health Center,City Agency,,1301 Pierce Street,94115,37.78233598800006,-122.436058029,0,,05,POINT (-122.436058029 37.78233598800006),97,4,11,39,97
2020,T2016.046,"Colburn, Adriane",,Geologic Ghost,,waterjet cut steel,,Guy Place Mini Park,City Agency,Fence and Gate at Guy Place Mini Park on 4-8 Guy Place,4 Guy Place,94105,37.78668401700003,-122.39439100099997,0,,06,POINT (-122.39439100099997 37.78668401700003),30,1,10,8,30
2018,T2018.39,"Alexopoulos, Yorgo",,Split,28 x 171 x 4 in.,Digital,Two-channel digital animation on 4K LCD displays with sound,Terminal 1,SFO,,,94128,37.620430000000056,-122.39916499999998,0,,,POINT (-122.39916499999998 37.620430000000056),,,,,
1934,1934.15,"Langdon, Gordon",Collection of the City and County of San Francisco; Commissioned by the Public Works of Art Project for Coit Tower,California Agricultural Industry,120 x 324 in.,Fresco,Fresco,Coit Tower,Public Display,1St Floor,1 Telegraph Hill Boulevard,94133,37.80231199100007,-122.40588401599994,0,,03,POINT (-122.40588401599994 37.80231199100007),18,6,3,23,18
,T2018.46.f,"O'Malley, Susan",,Advice from My 80-Year-Old Self: Your Life is Precious,32 7/8 x 17 in.,,Digital print on archival rag paper,Terminal 1,SFO,BAB,,94128,37.620430000000056,-122.39916499999998,0,,,POINT (-122.39916499999998 37.620430000000056),,,,,
1934,1934.1,"Boynton, Raymond",Collection of the City and County of San Francisco; Commissioned by the Public Works of Art Project for Coit Tower,Animal Force and Machine Force,120 x 432 in.,Fresco,Fresco,Coit Tower,Public Display,1St Floor,1 Telegraph Hill Boulevard,94133,37.80231199100007,-122.40588401599994,0,,03,POINT (-122.40588401599994 37.80231199100007),18,6,3,23,18
2019,T2018.8,"Jägel, Jason",,The Author & Her Story,,custom glazed ceramic tile,custom glazed ceramic tile,Terminal 1,SFO,"Departures, Level Two",,94128,37.620430000000056,-122.39916499999998,0,,,POINT (-122.39916499999998 37.620430000000056),,,,,
1898,1906.1,"Perry, R. Hinton",Collection of the City and County of San Francisco; Gift of Shreve & Co.,Lion,61  x 75  x 87 in.,Bronze,Bronze on Stone,Golden Gate Park,Public Display,East Of De Young Museum,50 Hagiwara Tea Garden Drive,94118,37.771426019000046,-122.46878902499998,0,,01,POINT (-122.46878902499998 37.771426019000046),9,8,4,12,9
2016 or 2019?,T2018.42,"Johanson, Chris",,Survival through figurizaton (white),96.25 x 96.25,acrylic,acrylic on found wood,Terminl 1,SFO,BAB: Departures,,94128,37.620430000000056,-122.39916499999998,0,,,POINT (-122.39916499999998 37.620430000000056),,,,,
1998,1998.11.d,"Preston, Ann",Collection of the City and County of San Francisco; Commissioned by the San Francisco Arts Commission for Civic Center Courthouse,Panel,72 x 60 x 3/4 in.,Zinc,Zinc,Civic Center Courthouse,Public Display,4Th Floor Waiting Area,400 McAllister Street,94102,37.780413012000054,-122.41879499599997,0,,06,POINT (-122.41879499599997 37.780413012000054),21,4,10,36,21
2019,T2018.37,"Arzabe, Miguel",,Culture Fabric (Bay Area),"90""H x 67""W",Archival ink,"Archival ink on archival paper, paper weaving",Hotel,SFO,"Grand Hyatt, Level 2",55 S McDonnell Road,94128,37.61242625700004,-122.39374060299997,0,,,POINT (-122.39374060299997 37.61242625700004),,,,,
2016,T2018.45,"McGee, Barry",,Untitled,78H x 66W,acrylic and gouache,"acrylic and gouache on panel, 24 elements",Terminal 1,SFO,BAB: Departures,,94128,37.620430000000056,-122.39916499999998,0,,,POINT (-122.39916499999998 37.620430000000056),,,,,
1908,1908.3.a-b,"Cummings, M. Earl",Collection of the City and County of San Francisco; Gift of Suzanna Brown,Bear and Lion,Two 4' L sculptures on 9' H granite boulder,Bronze,Bronze on cast concrete,Golden Gate Park,Public Display,8th Avenue Entrance At Fulton St.,8th Avenue & Fulton Street,94118,37.77338005000007,-122.465879918,0,,01,POINT (-122.465879918 37.77338005000007),9,8,4,12,9
2019,T2018.9,"Minervini, Robert",,Hyper-Natural Bay Area or Bay Area Hyper-Naturalism (which title is correct?),,"Ceramic tile, glass, and marble mosaic","Ceramic tile, glass, and marble mosaic",Terminal 1,SFO,"Departures, Level 2",,94128,37.620430000000056,-122.39916499999998,0,,,POINT (-122.39916499999998 37.620430000000056),,,,,
,T2018.46.l,"O'Malley, Susan",,Advice from My 80-Year-Old Self: School First Party on the Weekends,38 7/8 x 17 in.,,Digital print on archival rag paper,Terminal 1,SFO,BAB,,94128,37.620430000000056,-122.39916499999998,0,,,POINT (-122.39916499999998 37.620430000000056),,,,,
,1994.16,"Anargyros, Spero",Collection of the City and County of San Francisco,George Moscone,87  x 30  x 27 1/2 in.,Cast Bronze,Cast bronze on marble,City Hall,Public Display,"2nd floor, Mayor's Rotunda",1 Dr. Carlton B. Goodlet Place,94102,37.77939475800008,-122.41847662199996,0,,06,POINT (-122.41847662199996 37.77939475800008),21,4,10,36,21
